LAST_NAME,PLAYER_NAME,POSITION,GEN_POST,MPG,PPG,FG_PCT,FG3_PCT,FT_PCT,RPG,APG,SPG,BPG,TPG,FPG
Henderson,Cedric Henderson,PF,Front,11.6,3.6,0.436,0.312,0.611,0.9,0.8,0.5,0.3,0.9,1.0
Jackson,Cedric Jackson,PG,Guard,6.3,1.7,0.3,0.166,0.583,0.7,1.2,0.3,0.2,0.9,0.6
Simmons,Cedric Simmons,PF,Front,7.7,1.7,0.381,0.0,0.307,1.5,0.1,0.1,0.3,0.3,0.8
Trybanski,Cezary Trybanski,C,Front,4.0,0.5,0.125,0.0,0.45,0.5,0.0,0.0,0.2,0.4,0.6
Hutchison,Chandler Hutchison,SF,Wing,19.5,6.5,0.458,0.298,0.597,4.0,0.8,0.7,0.2,0.8,1.5
Parsons,Chandler Parsons,SF,Wing,26.0,10.6,0.424,0.352,0.638,3.8,2.2,0.8,0.3,1.3,1.7
Frye,Channing Frye,PF,Front,21.3,8.4,0.438,0.354,0.826,4.3,0.9,0.4,0.5,0.8,2.4
Brown Jr.,Charles Brown Jr.,SG,Guard,4.0,2.0,0.316,0.333,1.0,0.4,0.2,0.2,0.2,0.3,0.3
Cooke,Charles Cooke,SG,Guard,2.9,0.5,0.143,0.125,0.5,0.2,0.1,0.1,0.0,0.1,0.0
Jenkins,Charles Jenkins,SG,Guard,12.5,3.8,0.426,0.325,0.708,0.9,2.0,0.4,0.0,0.8,1.0
Oakley,Charles Oakley,PF,Front,18.9,4.1,0.377,0.097,0.810,4.6,1.6,0.5,0.2,0.9,2.4
Smith,Charles Smith,PF,Front,10.9,4.2,0.364,0.220,0.673,0.9,0.6,0.4,0.3,0.5,1.4
Bell,Charlie Bell,SG,Guard,20.5,6.7,0.372,0.304,0.762,1.8,1.8,0.6,0.0,0.8,1.6
Villanueva,Charlie Villanueva,PF,Front,19.1,9.5,0.421,0.329,0.745,4.3,0.7,0.4,0.4,0.9,2.0
Ward,Charlie Ward,PG,Guard,21.3,6.1,0.382,0.361,0.794,2.4,3.6,1.0,0.1,1.4,1.8
Budinger,Chase Budinger,SF,Wing,19.7,7.9,0.426,0.344,0.785,3.0,1.1,0.5,0.1,0.7,1.2
Randle,Chasson Randle,PG,Guard,13.3,4.1,0.275,0.246,0.826,1.0,1.6,0.5,0.0,0.5,1.4
Billups,Chauncey Billups,PG,Guard,30.4,14.6,0.409,0.385,0.891,2.7,5.1,0.9,0.1,1.9,1.9
Diallo,Cheick Diallo,PF,Front,11.8,5.2,0.581,0.187,0.770,4.1,0.4,0.2,0.4,0.6,1.4
Samb,Cheikh Samb,C,Front,6.1,1.3,0.469,0.0,0.464,1.5,0.0,0.2,0.5,0.2,1.2
Parks,Cherokee Parks,C,Front,12.1,3.3,0.438,0.125,0.588,2.5,0.4,0.2,0.4,0.4,1.2
Metu,Chimezie Metu,PF,Front,4.8,2.3,0.449,0.0,0.757,1.4,0.4,0.1,0.2,0.4,0.4
Onuaku,Chinanu Onuaku,C,Front,16.2,3.4,0.557,0.0,0.5,3.0,0.8,0.3,0.1,1.9,2.6
Andersen,Chris Andersen,C,Front,15.9,4.7,0.504,0.114,0.647,4.4,0.4,0.4,1.2,0.6,1.8
Babb,Chris Babb,SG,Guard,9.4,1.6,0.267,0.222,0.0,1.2,0.2,0.4,0.0,0.2,0.9
Bosh,Chris Bosh,PF,Front,35.7,19.3,0.491,0.299,0.795,8.4,2.0,0.8,1.0,2.0,2.3
Boucher,Chris Boucher,PF,Front,6.6,3.1,0.301,0.202,0.554,2.4,0.1,0.2,0.6,0.2,1.0
Carr,Chris Carr,SG,Guard,8.8,4.8,0.473,0.459,0.767,1.3,0.3,0.1,0.1,0.5,1.3
Childs,Chris Childs,PG,Guard,18.5,3.3,0.343,0.248,0.776,1.7,3.6,0.7,0.1,1.4,2.3
Chiozza,Chris Chiozza,PG,Guard,8.2,2.4,0.327,0.419,0.5,1.1,1.4,0.3,0.1,0.4,0.7
Clemons,Chris Clemons,SG,Guard,8.7,4.9,0.405,0.351,0.857,0.8,0.8,0.2,0.2,0.6,0.7
Copeland,Chris Copeland,PF,Front,11.2,5.1,0.410,0.357,0.765,1.3,0.6,0.1,0.1,0.6,1.2
Crawford,Chris Crawford,PF,Front,16.7,7.3,0.495,0.248,0.823,2.6,0.6,0.4,0.5,1.0,2.3
Douglas-Roberts,Chris Douglas-Roberts,SF,Wing,16.5,5.5,0.394,0.227,0.834,1.7,0.9,0.4,0.1,0.6,1.1
Dudley,Chris Dudley,PG,Guard,7.4,0.8,0.265,0.0,0.307,2.0,0.1,0.1,0.2,0.2,1.3
Duhon,Chris Duhon,PG,Guard,24.7,6.1,0.391,0.355,0.724,2.1,4.2,0.7,0.0,1.4,1.5
Garner,Chris Garner,PG,Guard,18.6,2.4,0.189,0.0,0.833,1.5,2.3,0.9,0.1,1.1,2.3
Gatling,Chris Gatling,C,Front,18.8,8.9,0.448,0.214,0.692,4.5,0.6,0.5,0.3,1.3,2.2
Herren,Chris Herren,PG,Guard,16.3,3.3,0.302,0.291,0.75,0.8,2.2,0.6,0.0,0.8,1.7
Hunter,Chris Hunter,C,Front,13.1,4.5,0.502,0.0,0.754,2.8,0.6,0.2,0.6,0.5,2.2
Jefferies,Chris Jefferies,SF,Wing,11.2,3.9,0.381,0.369,0.662,1.2,0.3,0.3,0.3,0.9,1.4
Johnson,Chris Johnson,SF,Wing,12.6,3.8,0.452,0.177,0.743,1.9,0.4,0.4,0.3,0.5,1.3
Kaman,Chris Kaman,C,Front,25.5,10.8,0.488,0.019,0.758,7.2,1.2,0.4,1.2,2.0,2.5
McCray,Chris McCray,SG,Guard,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
McCullough,Chris McCullough,PF,Front,8.2,3.1,0.444,0.216,0.573,1.7,0.2,0.4,0.3,0.3,0.7
Mihm,Chris Mihm,C,Front,18.0,6.6,0.434,0.053,0.724,4.7,0.5,0.2,0.8,1.1,2.6
Mills,Chris Mills,SF,Wing,21.3,8.0,0.385,0.312,0.848,3.8,1.0,0.4,0.1,0.8,2.0
Mullin,Chris Mullin,SF,Wing,18.7,5.8,0.34,0.365,0.857,2.1,1.0,0.8,0.5,1.0,1.4
Owens,Chris Owens,SF,Wing,6.0,4.0,0.667,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Paul,Chris Paul,PG,Guard,34.8,18.4,0.468,0.367,0.871,4.5,9.4,2.1,0.1,2.4,2.4
Porter,Chris Porter,SF,Wing,22.5,8.6,0.389,0.0,0.667,3.7,1.2,0.9,0.1,1.2,2.2
Quinn,Chris Quinn,PG,Guard,12.2,3.6,0.361,0.295,0.808,0.8,1.6,0.4,0.0,0.5,0.8
Richard,Chris Richard,PF,Front,11.5,2.0,0.494,0.0,0.614,2.9,0.3,0.3,0.2,0.6,2.2
Silva,Chris Silva,PF,Front,7.5,2.9,0.623,0.0,0.694,2.7,0.5,0.2,0.4,0.8,2.0
Singleton,Chris Singleton,PF,Front,15.9,3.9,0.375,0.302,0.657,2.9,0.4,0.7,0.3,0.6,1.9
Smith,Chris Smith,PG,Guard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taft,Chris Taft,C,Front,8.5,2.8,0.605,0.0,0.166,2.1,0.1,0.1,0.4,0.1,1.5
Webber,Chris Webber,PF,Front,34.0,18.5,0.456,0.218,0.671,8.7,4.0,1.2,1.0,2.4,2.8
Whitney,Chris Whitney,PG,Guard,21.1,7.3,0.384,0.382,0.9,1.4,2.9,0.7,0.0,1.1,1.7
Wilcox,Chris Wilcox,PF,Front,18.8,7.6,0.554,0.0,0.616,4.6,0.7,0.4,0.3,1.0,2.3
Wright,Chris Wright,SF,Wing,8.2,3.1,0.537,0.0,0.391,1.4,0.2,0.3,0.3,0.3,1.0
Eyenga,Christian Eyenga,SF,Wing,18.1,4.6,0.332,0.304,0.571,2.4,0.7,0.6,0.6,0.7,1.4
Laettner,Christian Laettner,PF,Front,22.2,7.1,0.501,0.212,0.819,4.8,2.0,0.9,0.4,1.1,2.3
Wood,Christian Wood,PF,Front,12.5,6.9,0.506,0.274,0.707,3.6,0.4,0.3,0.5,0.7,0.9
Hayes,Chuck Hayes,PF,Front,16.8,3.4,0.483,0.0,0.630,4.6,1.1,0.6,0.3,0.7,2.2
Atkins,Chucky Atkins,PG,Guard,23.8,8.8,0.389,0.344,0.763,1.5,3.2,0.6,0.0,1.3,1.7
Brown,Chucky Brown,PF,Front,9.1,2.5,0.395,0.0,0.573,1.9,0.3,0.2,0.2,0.3,1.0
Weatherspoon,Clar. Weatherspoon,PF,Front,24.0,6.9,0.454,0.0,0.783,6.5,0.8,0.6,0.6,0.8,2.0
Early,Cleanthony Early,SF,Wing,12.8,3.6,0.327,0.264,0.75,2.0,0.6,0.3,0.2,0.7,1.2
Alexander,Cliff Alexander,PF,Front,4.5,1.3,0.5,0.0,0.0,0.8,0.0,0.1,0.3,0.1,0.1
Robinson,Clifford Robinson,C,Front,29.3,10.5,0.402,0.357,0.647,3.6,2.2,0.8,0.8,1.5,2.7
Capela,Clint Capela,C,Front,24.0,11.1,0.606,0.0,0.468,9.1,0.8,0.6,1.4,1.1,2.3
Karl,Coby Karl,SG,Guard,10.1,2.9,0.345,0.245,0.733,1.7,1.3,0.3,0.1,0.8,1.1
White,Coby White,SG,Guard,25.8,13.2,0.394,0.354,0.790,3.5,2.7,0.8,0.1,1.7,1.8
Martin,Cody Martin,SF,Wing,18.8,5.0,0.43,0.234,0.645,3.3,2.0,0.8,0.2,0.9,1.6
Zeller,Cody Zeller,C,Front,22.9,8.7,0.515,0.325,0.732,6.0,1.4,0.6,0.7,1.0,2.6
Aldrich,Cole Aldrich,C,Front,8.8,2.5,0.509,0.0,0.675,2.8,0.4,0.3,0.6,0.5,1.3
Sexton,Collin Sexton,PG,Guard,32.4,18.7,0.450,0.391,0.842,3.0,3.0,0.7,0.1,2.3,2.2
Benjamin,Corey Benjamin,SG,Guard,15.0,4.5,0.341,0.206,0.712,2.4,1.1,0.2,0.2,0.8,2.1
Brewer,Corey Brewer,SF,Wing,22.3,8.3,0.421,0.285,0.722,2.8,1.5,1.2,0.2,1.1,2.1
Maggette,Corey Maggette,SF,Wing,28.3,16.0,0.441,0.308,0.818,4.7,2.0,0.7,0.1,2.2,2.8
Blount,Corie Blount,C,Front,18.1,3.8,0.46,0.062,0.596,4.8,0.8,0.7,0.3,0.8,2.3
Williamson,Corliss Williamson,SF,Wing,20.2,9.9,0.480,0.197,0.750,3.5,0.8,0.4,0.2,1.3,2.6
Edwards,Corsley Edwards,C,Front,11.0,2.7,0.322,0.0,0.583,2.5,0.3,0.3,0.4,0.2,1.9
Alexander,Cory Alexander,PG,Guard,10.6,2.5,0.324,0.335,0.708,1.4,1.8,0.6,0.0,1.1,1.4
Higgins,Cory Higgins,PG,Guard,8.2,3.0,0.320,0.2,0.6,0.7,0.8,0.3,0.1,0.5,0.9
Jefferson,Cory Jefferson,PF,Front,8.4,3.2,0.429,0.066,0.620,2.4,0.1,0.1,0.2,0.2,1.1
Joseph,Cory Joseph,PG,Guard,20.2,6.3,0.433,0.313,0.762,2.3,2.6,0.6,0.2,0.9,1.4
Clarke,Coty Clarke,SF,Wing,2.0,2.0,0.5,1.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
Alexander,Courtney Alexander,SG,Guard,17.2,9.0,0.423,0.327,0.812,2.2,1.2,0.6,0.1,1.0,2.0
Fortson,Courtney Fortson,PG,Guard,9.5,3.5,0.344,0.231,0.667,1.5,1.0,0.3,0.0,1.0,0.5
Lee,Courtney Lee,SG,Guard,25.7,9.0,0.451,0.384,0.839,2.5,1.5,0.9,0.2,0.8,1.5
Sims,Courtney Sims,C,Front,5.1,1.5,0.25,0.0,0.0,1.3,0.1,0.0,0.0,0.2,0.6
Brackins,Craig Brackins,PF,Front,8.6,2.1,0.261,0.166,0.25,1.2,0.4,0.1,0.0,0.1,0.7
Smith,Craig Smith,PF,Front,16.1,7.2,0.546,0.033,0.675,3.6,0.7,0.4,0.2,0.9,2.2
Felicio,Cristiano Felicio,PF,Front,14.7,4.3,0.577,0.0,0.698,4.0,0.7,0.3,0.2,0.6,1.4
Borchardt,Curtis Borchardt,C,Front,14.5,3.3,0.411,0.0,0.755,3.3,0.8,0.2,0.7,0.9,2.4
Mobley,Cuttino Mobley,SG,Guard,37.8,16.3,0.433,0.375,0.820,3.9,2.5,1.2,0.4,2.0,2.2
Russell,D'Angelo Russell,PG,Guard,29.0,17.7,0.417,0.352,0.769,3.7,5.3,1.1,0.2,2.9,1.8
