SEASON,TEAM,PPG,FG_PCT,FG3_PCT,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,FPG,WIN_PCT
2005,BKN,91.4,0.428,0.361,0.762,10.4,29.1,39.5,21.6,7.9,3.7,13.4,24.2,51.2
2005,BOS,101.,0.467,0.349,0.764,11.0,29.7,40.8,22.0,8.1,5.1,15.3,24.3,54.9
2005,CHA,94.2,0.431,0.363,0.709,13.2,28.4,41.6,21.8,8.4,5.3,13.8,23.0,22
2005,CHI,94.4,0.432,0.356,0.75,12.2,31.5,43.8,21.2,7.0,4.5,16.0,24.7,57.3
2005,CLE,96.5,0.447,0.331,0.751,13.6,28.6,42.3,22.5,7.9,5.6,13.0,22.5,51.2
2005,DAL,102.,0.457,0.363,0.789,12.0,30.8,42.9,19.6,8.6,5.6,12.8,22.2,70.7
2005,DEN,99.5,0.459,0.340,0.763,11.7,30.1,41.9,23.8,9.1,5.9,14.4,22.9,59.8
2005,DET,93.3,0.444,0.344,0.738,12.8,30.5,43.4,21.7,7.0,6.0,13.0,19.9,65.9
2005,GSW,98.7,0.430,0.351,0.722,13.0,29.7,42.7,22.0,7.8,5.1,13.1,22.3,41.5
2005,HOU,95.0,0.443,0.363,0.780,10.6,31.7,42.3,21.1,6.8,4.6,13.0,22.0,62.2
2005,IND,93,0.432,0.344,0.792,10.5,29.4,40.0,18.1,7.5,4.3,13.3,23.0,53.7
2005,LAC,95.7,0.459,0.345,0.778,11.9,29.9,41.8,23.1,7.3,5.1,14.7,22.1,45.1
2005,LAL,98.7,0.436,0.355,0.777,12.5,30.6,43.1,20.3,6.1,4.1,13.7,21.8,41.5
2005,MEM,93.4,0.446,0.357,0.753,10.8,28.1,38.9,20.9,8.5,5.8,13.9,23.2,54.9
2005,MIA,101.,0.486,0.376,0.672,10.8,32.1,43,21.8,6.4,5.7,13.3,22.1,72
2005,MIL,97.2,0.450,0.351,0.771,12.0,29.3,41.3,20.9,6.4,3.5,13.3,21.9,36.6
2005,MIN,96.7,0.459,0.344,0.796,11.5,31.4,43.0,23.3,5.6,5.4,12.6,21.6,53.7
2005,NOP,88.4,0.414,0.315,0.765,12.4,27.8,40.2,21.0,6.7,3.7,13.9,22.9,22
