FIRST_NAME,LAST_NAME,PLAYER_NAME,HEIGHT,WEIGHT,POSITION,AGE,TEAM,GP,GS,NOTE_2019,NOTE_2020,2020,2021,2022,2023
Derrick,Jones Jr.,Derrick Jones Jr.,198,95,SF,23,MIA,51,15,2.92,4.75,1645357,0,0,0
DeAndre,Jordan,DeAndre Jordan,211,120,C,31,BKN,56,6,5.34,3.72,9881598,10375678,9881598,9821842
Cory,Joseph,Cory Joseph,191,91,PG,28,SAC,64,22,4.53,3.97,12000000,12600000,12600000,0
Mfiondu,Kabengele,Mfiondu Kabengele,206,113,C,22,LAC,12,0,,0.32,1977000,2075880,2174880,3923483
Frank,Kaminsky,Frank Kaminsky,213,109,PF,27,PHX,32,13,2.05,3.05,4767000,5005350,0,0
Enes,Kanter,Enes Kanter,208,113,C,28,BOS,51,6,4.82,2.57,4767000,5005350,0,0
Luke,Kennard,Luke Kennard,196,93,SG,23,DET,28,25,3.19,5.72,3827160,5273826,7256785,0
Stanton,Kidd,Stanton Kidd,198,97,SF,28,UTA,4,0,,0.0,250000,0,0,0
Michael,Kidd-Gilchrist,Michael Kidd-Gilchrist,198,105,SF,26,CHA,21,0,2.90,0.97,12784359,0,0,0
Louis,King,Louis King,201,93,SF,21,DET,10,0,,0.39,79568,0,0,0
Maxi,Kleber,Maxi Kleber,208,109,PF,28,DAL,66,21,3.28,4.66,8000000,8250000,8750000,9000000
Brandon,Knight,Brandon Knight,188,83,PG,28,CLE,25,3,2.53,1.79,15643750,0,0,0
Kevin,Knox II,Kevin Knox II,201,98,SF,20,NYK,65,4,4.04,2.23,4380120,4588680,5845978,7921300
John,Konchar,John Konchar,196,95,SG,24,MEM,15,0,,1.72,79568,0,0,0
Furkan,Korkmaz,Furkan Korkmaz,201,92,SG,22,PHI,64,12,1.37,3.06,1620564,1762796,0,0
Luke,Kornet,Luke Kornet,218,113,PF,24,CHI,36,14,2.77,1.78,2250000,2250000,0,0
Kyle,Korver,Kyle Korver,201,96,SF,39,MIL,50,0,2.96,2.71,6004753,0,0,0
Rodions,Kurucs,Rodions Kurucs,206,103,PF,22,BKN,39,4,2.59,1.18,1699236,1780152,1861068,0
Kyle,Kuzma,Kyle Kuzma,203,100,PF,24,LAL,54,7,5.08,3.01,1974600,3562178,5282711,0
Skal,Labissiere,Skal Labissiere,208,107,PF,24,POR,33,1,0.53,1.92,2338846,3484881,0,0
Jeremy,Lamb,Jeremy Lamb,196,82,SF,28,IND,46,42,6.39,5.92,10500000,10500000,10500000,0
Romeo,Langford,Romeo Langford,193,98,SG,20,BOS,27,1,,0.80,3458400,3631200,3804360,5634257
Zach,LaVine,Zach LaVine,198,91,SG,25,CHI,60,60,6.67,7.66,19500000,19500000,19500000,0
Vic,Law,Vic Law,201,91,SF,24,ORL,5,0,,0.03,79568,0,0,0
Jake,Layman,Jake Layman,203,95,SF,26,MIN,23,2,2.77,3.34,3581986,3761085,3940184,0
TJ,Leaf,TJ Leaf,208,101,PF,23,IND,25,1,0.81,0.63,2813280,4326825,6139764,0
Jalen,Lecque,Jalen Lecque,193,84,PG,19,PHX,4,0,,0.44,898310,1517981,1782621,0
Courtney,Lee,Courtney Lee,196,98,SG,34,DAL,24,9,1.06,2.33,12759670,0,0,0
Damion,Lee,Damion Lee,196,95,SG,27,GSW,49,36,1.20,4.94,842327,1762796,1910860,0
Alex,Len,Alex Len,213,113,C,26,ATL,49,9,3.35,2.48,4160000,0,0,0
Kawhi,Leonard,Kawhi Leonard,201,102,SF,28,LAC,51,51,9.49,9.91,32742000,34379100,36016200,0
Meyers,Leonard,Meyers Leonard,213,118,C,28,MIA,49,49,2.09,3.36,11286515,0,0,0
Caris,LeVert,Caris LeVert,198,93,SG,25,BKN,39,25,4.28,5.08,2625717,16203704,17500000,18796296
Damian,Lillard,Damian Lillard,188,88,PG,29,POR,58,58,9.82,10.0,29802321,31626953,43750000,47250000
Nassir,Little,Nassir Little,196,100,PF,20,POR,48,5,,0.92,2105520,2210640,2316240,4171548
Kevon,Looney,Kevon Looney,206,101,PF,24,GSW,20,4,1.92,1.06,4464286,4821429,5178572,0
Brook,Lopez,Brook Lopez,213,128,C,32,MIL,61,60,7.66,6.06,12093024,12697675,13302325,13906976
Robin,Lopez,Robin Lopez,213,127,C,32,MIL,60,4,3.30,1.62,4767000,5005350,0,0
Kevin,Love,Kevin Love,203,114,PF,31,CLE,56,56,4.78,6.56,28942830,31258256,31258256,28942830
Kyle,Lowry,Kyle Lowry,183,89,PG,34,TOR,52,52,8.29,8.14,33296296,30500000,0,0
Timothe,Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,201,100,SF,25,BKN,39,0,1.62,2.31,837583,1824003,0,0
Trey,Lyles,Trey Lyles,206,106,PF,24,SAS,63,53,1.96,3.02,5500000,5500000,0,0
Daryl,Macon,Daryl Macon,188,83,SG,24,MIA,4,0,0.75,0.10,79568,0,0,0
J.P.,Macura,J.P. Macura,196,92,SG,24,CLE,1,0,0.22,0.01,106181,0,0,0
Josh,Magette,Josh Magette,185,72,PG,30,ORL,8,0,,0.23,161245,0,0,0
Ian,Mahinmi,Ian Mahinmi,211,119,C,33,WAS,38,35,1.63,2.44,15450051,0,0,0
Thon,Maker,Thon Maker,213,100,PF,23,DET,60,14,1.70,1.46,3569643,4861853,0,0
Terance,Mann,Terance Mann,196,98,SG,23,LAC,35,6,,0.59,1000000,1517981,1782621,1930681
Boban,Marjanovic,Boban Marjanovic,224,132,C,31,DAL,37,2,2.17,1.07,3500000,3500000,0,0
Lauri,Markkanen,Lauri Markkanen,213,109,PF,23,CHI,50,50,6.31,5.33,5300400,6731508,9026952,0
Caleb,Martin,Caleb Martin,196,93,SF,24,CHA,18,1,,2.33,898310,1517981,1782621,0
Cody,Martin,Cody Martin,196,93,SF,24,CHA,48,3,,2.22,1173310,1517981,1782621,0
Jeremiah,Martin,Jeremiah Martin,188,84,PG,23,BKN,3,0,,0.20,79568,0,0,0
Kelan,Martin,Kelan Martin,196,104,SF,24,MIN,31,4,,1.29,79568,0,0,0
Frank,Mason,Frank Mason,180,86,PG,26,MIL,6,0,1.08,0.42,79568,0,0,0
Garrison,Mathews,Garrison Mathews,196,98,SG,23,WAS,18,0,,1.63,79568,0,0,0
Wesley,Matthews,Wesley Matthews,193,100,PG,33,MIL,62,62,5.21,3.53,2564753,2692991,0,0
Patrick,McCaw,Patrick McCaw,201,82,SG,24,TOR,37,12,1.41,3.24,4000000,4000000,0,0
CJ,McCollum,CJ McCollum,191,86,SG,28,POR,62,62,6.21,7.15,27556959,29354152,30864198,33333333
T.J.,McConnell,T.J. McConnell,185,86,PG,28,IND,63,3,3.55,3.42,3500000,3500000,0,0
Jalen,McDaniels,Jalen McDaniels,208,93,PF,22,CHA,16,0,,2.53,898310,1517981,1782621,1930681
Doug,McDermott,Doug McDermott,201,102,SF,28,IND,62,0,2.65,3.40,7333333,7333333,0,0
JaVale,McGee,JaVale McGee,213,122,C,32,LAL,61,61,3.49,2.58,4000000,4200000,0,0
Rodney,McGruder,Rodney McGruder,193,93,SG,28,LAC,50,3,2.85,1.30,4807693,5192307,5000000,0
Alfonzo,McKinnie,Alfonzo McKinnie,201,98,SF,27,CLE,40,1,1.53,1.47,2391985,1762796,1910860,2165298
Jordan,McLaughlin,Jordan McLaughlin,180,84,PG,24,MIN,30,2,,3.32,79568,0,0,0
Ben,McLemore,Ben McLemore,191,88,SG,27,HOU,63,19,0.57,3.02,2028594,2283034,0,0
Jordan,McRae,Jordan McRae,196,81,SG,29,WAS,37,4,1.29,3.31,1254933,0,0,0
Nicolo,Melli,Nicolo Melli,206,107,C,29,NOP,52,6,,2.69,4102564,3897436,0,0
De'Anthony,Melton,De'Anthony Melton,188,91,PG,22,MEM,52,8,3.37,3.40,1416852,0,0,0
Chimezie,Metu,Chimezie Metu,206,102,PF,23,SAS,16,0,0.20,0.27,1416852,1663861,0,0
Khris,Middleton,Khris Middleton,201,101,SF,28,MIL,55,52,6.29,7.49,30603448,33051724,35500000,37984276
CJ,Miles,CJ Miles,198,99,SG,33,WAS,10,0,1.76,2.17,8730158,0,0,0
Malcolm,Miller,Malcolm Miller,201,95,SF,27,TOR,25,1,0.85,0.25,1588231,0,0,0
Patty,Mills,Patty Mills,185,82,PG,31,SAS,63,1,4.24,3.72,12428571,13285714,0,0
Paul,Millsap,Paul Millsap,201,117,PF,35,DEN,44,41,5.05,4.64,30350000,0,0,0
Shake,Milton,Shake Milton,196,93,SG,23,PHI,32,16,1.33,2.84,1445697,1701593,1846738,1997718
Donovan,Mitchell,Donovan Mitchell,185,98,SG,23,UTA,63,63,6.36,6.49,3635760,5195501,7185378,0
Adam,Mokoka,Adam Mokoka,196,86,SG,21,CHI,11,0,,0.75,79568,0,0,0
Malik,Monk,Malik Monk,191,91,SG,22,CHA,55,1,2.07,2.99,4028400,5345687,7318245,0
Matt,Mooney,Matt Mooney,188,90,SG,23,CLE,4,0,,0.25,79568,0,0,0
E'Twaun,Moore,E'Twaun Moore,191,87,PG,31,NOP,51,5,5.28,2.57,8664928,0,0,0
Ja,Morant,Ja Morant,191,79,PG,20,MEM,59,59,,6.28,8730240,9166800,9603360,12119440
Juwan,Morgan,Juwan Morgan,201,105,PF,23,UTA,16,0,,0.17,746054,1517981,0,0
Markieff,Morris,Markieff Morris,203,111,SF,30,DET,52,16,3.24,3.42,3709887,0,0,0
Monte,Morris,Monte Morris,188,83,PG,24,DEN,65,8,5.01,3.99,1588231,1723707,0,0
Marcus,Morris Sr.,Marcus Morris Sr.,203,99,SF,30,NYK,55,55,5.30,6.57,15000000,0,0,0
Johnathan,Motley,Johnathan Motley,203,104,PF,25,LAC,13,0,0.32,0.15,79568,0,0,0
Emmanuel,Mudiay,Emmanuel Mudiay,191,91,PG,24,UTA,48,1,4.88,2.17,1737145,0,0,0
Dejounte,Murray,Dejounte Murray,193,82,PG,23,SAS,58,50,,5.43,2321735,14286000,15428880,16571120
Jamal,Murray,Jamal Murray,193,98,PG,23,DEN,55,55,7.57,7.36,4444746,29000000,31320000,33640000
Dzanan,Musa,Dzanan Musa,206,98,SF,21,BKN,35,0,0.20,1.07,1911600,2002800,3615054,5429079
Mike,Muscala,Mike Muscala,208,109,PF,28,OKC,41,0,2.71,1.47,2028594,2283034,0,0
Svi,Mykhailiuk,Svi Mykhailiuk,201,93,SF,22,DET,56,27,0.95,3.71,1416852,1663861,0,0
Abdel,Nader,Abdel Nader,196,102,SF,26,OKC,48,5,1.40,2.37,1618520,1752950,0,0
Larry,Nance Jr.,Larry Nance Jr.,201,111,PF,27,CLE,56,10,5.17,4.83,12727273,11709091,10690909,0
Shabazz,Napier,Shabazz Napier,183,79,PG,28,MIN,51,30,3.12,4.30,1845301,0,0,0
Raul,Neto,Raul Neto,185,82,PG,28,PHI,49,3,1.88,1.50,1737145,0,0,0
Georges,Niang,Georges Niang,201,104,PF,26,UTA,58,0,0.98,1.88,1645357,1783557,0,0
Nerlens,Noel,Nerlens Noel,208,100,C,26,OKC,55,6,1.89,4.08,1882867,0,0,0
Zach,Norvell Jr.,Zach Norvell Jr.,196,93,SG,22,LAL,5,0,,0.95,130320,0,0,0
Jaylen,Nowell,Jaylen Nowell,193,91,SG,20,MIN,15,0,,0.95,1400000,1517981,1782621,1930681
Frank,Ntilikina,Frank Ntilikina,193,91,PG,21,NYK,57,26,2.62,3.05,4855800,6176578,8326027,0
Kendrick,Nunn,Kendrick Nunn,188,86,SG,24,MIA,62,62,,4.77,1416852,1663861,0,0
Jusuf,Nurkic,Jusuf Nurkic,213,132,C,24,POR,0,0,5.25,5.25,12000000,12888889,12000000,0
David,Nwaba,David Nwaba,196,99,SF,27,BKN,20,0,2.69,2.30,1678854,0,0,0
Royce,O'Neale,Royce O'Neale,193,103,SF,26,UTA,64,55,3.18,5.29,1618520,8500000,8800000,9200000
Kyle,O'Quinn,Kyle O'Quinn,206,113,C,30,PHI,26,1,0.90,1.00,2174318,0,0,0
Semi,Ojeleye,Semi Ojeleye,198,109,PF,25,BOS,61,5,0.86,2.01,1618520,1752950,0,0
Jahlil,Okafor,Jahlil Okafor,208,122,C,24,NOP,28,9,2.14,1.65,1702486,0,0,0
Elie,Okobo,Elie Okobo,191,86,PG,22,PHX,54,3,2.10,1.48,1416852,1663861,1802057,0
Josh,Okogie,Josh Okogie,193,97,SG,21,MIN,62,28,3.00,3.77,2530680,2651040,4087904,5857966
KZ,Okpala,KZ Okpala,203,98,SF,21,MIA,5,0,,0.36,898310,1517981,1782621,0
Victor,Oladipo,Victor Oladipo,193,97,SG,28,IND,13,10,6.57,3.68,21000000,21000000,0,0
Kelly,Olynyk,Kelly Olynyk,211,109,PF,29,MIA,59,6,3.53,3.02,12667885,13598243,0,0
Miye,Oni,Miye Oni,196,93,SG,22,UTA,5,0,,0.01,898310,1517981,1782621,0
Cedi,Osman,Cedi Osman,201,104,SF,25,CLE,65,65,5.15,4.66,2907143,8840580,8133334,7426088
Kelly,Oubre Jr.,Kelly Oubre Jr.,201,92,SF,24,PHX,56,55,5.53,7.80,15625000,14375000,0,0
Tariq,Owens,Tariq Owens,208,93,PF,24,PHX,3,0,,0.08,79568,0,0,0
Jeremy,Pargo,Jeremy Pargo,188,99,PG,34,GSW,3,0,,1.09,91557,0,0,0
Jabari,Parker,Jabari Parker,203,111,PF,25,ATL,33,23,3.92,4.12,6500000,6500000,0,0
Chandler,Parsons,Chandler Parsons,206,104,SF,31,ATL,5,0,2.94,0.83,25102512,0,0,0
Eric,Paschall,Eric Paschall,198,116,PF,23,GSW,60,26,,3.86,898310,1517981,1782621,
Anzejs,Pasecniks,Anzejs Pasecniks,218,104,C,24,WAS,24,0,,1.07,482144,1517981,1782621,0
Patrick,Patterson,Patrick Patterson,203,107,PF,31,LAC,51,18,1.34,1.45,3068660,737067,737067,0
Justin,Patton,Justin Patton,211,109,C,22,OKC,5,0,0.30,0.13,1620564,0,0,0
Chris,Paul,Chris Paul,185,79,PG,35,OKC,63,63,8.31,7.64,38506482,41358814,44211146,0
Elfrid,Payton,Elfrid Payton,191,88,PG,26,NYK,45,36,6.11,5.22,8000000,8000000,0,0
Gary,Payton II,Gary Payton II,191,88,PG,27,WAS,29,17,0.62,1.60,1052909,0,0,0
Norvel,Pelle,Norvel Pelle,208,105,C,27,PHI,20,0,,0.44,350189,1517981,0,0
Theo,Pinson,Theo Pinson,196,96,SG,24,BKN,33,0,0.92,1.04,1445697,1701593,0,0
Mason,Plumlee,Mason Plumlee,211,115,C,30,DEN,53,1,2.93,1.65,14041096,0,0,0
Jakob,Poeltl,Jakob Poeltl,216,111,C,24,SAS,58,10,1.84,2.16,3754885,5087870,0,0
Vincent,Poirier,Vincent Poirier,213,107,C,26,BOS,21,0,,0.40,2505793,2619207,0,0
Shamorie,Ponds,Shamorie Ponds,183,81,PG,21,TOR,4,0,,0.14,79568,0,0,0
Jordan,Poole,Jordan Poole,193,88,SG,20,GSW,57,14,,2.58,1964760,2063280,2161440,3901399
Kevin,Porter Jr.,Kevin Porter Jr.,193,92,PG,20,CLE,50,3,,3.16,1290960,1717981,1782621,3217631
Michael,Porter Jr.,Michael Porter Jr.,208,99,PF,21,DEN,48,1,,2.08,3389400,3550800,5258735,7314900
Otto,Porter Jr.,Otto Porter Jr.,203,90,SF,26,CHI,14,9,7.16,4.49,27250576,28489239,0,0
Bobby,Portis,Bobby Portis,208,113,PF,25,NYK,66,5,4.25,3.18,15000000,15750000,0,0
Kristaps,Porzingis,Kristaps Porzingis,221,109,PF,24,DAL,51,51,,6.73,27285000,29467800,31650600,33833400
Dwight,Powell,Dwight Powell,208,109,PF,28,DAL,40,37,3.31,3.94,10259375,11080125,11080125,11080125
Norman,Powell,Norman Powell,191,98,SG,27,TOR,44,23,2.50,5.85,10116576,10865952,11615328,0
Taurean,Prince,Taurean Prince,201,99,SF,26,BKN,64,61,4.78,5.20,3481985,12250000,13000000,
Chasson,Randle,Chasson Randle,188,84,PG,27,GSW,3,0,1.94,0.77,91557,0,0,0
Julius,Randle,Julius Randle,203,113,PF,25,NYK,64,64,5.09,5.09,18000000,18900000,19800000,0
